,TN,FP,FN,TP,Accuracy,Precision,Recall,Total_Actual_Neg,Total_Actual_Pos,Total_Pred_Neg,Total_Pred_Pos,TP_Rate,FP_Rate,TN_Rate,FN_Rate
0,8835.0,0.0,2992.0,0.0,0.7470195315802824,0.0,0.0,8835.0,2992.0,11827.0,0.0,0.0,0.0,1.0,1.0
1,8835.0,0.0,2508.0,484.0,0.7879428426481779,1.0,0.16176470588235295,8835.0,2992.0,11343.0,484.0,0.16176470588235295,0.0,1.0,0.8382352941176471
2,8835.0,0.0,2496.0,496.0,0.7889574701953158,1.0,0.1657754010695187,8835.0,2992.0,11331.0,496.0,0.1657754010695187,0.0,1.0,0.8342245989304813
3,8818.0,17.0,2494.0,498.0,0.7876891857613935,0.9669902912621359,0.16644385026737968,8835.0,2992.0,11312.0,515.0,0.16644385026737968,0.0019241652518392756,0.9980758347481608,0.8335561497326203
4,8818.0,17.0,2496.0,496.0,0.7875200811702038,0.9668615984405458,0.1657754010695187,8835.0,2992.0,11314.0,513.0,0.1657754010695187,0.0019241652518392756,0.9980758347481608,0.8342245989304813
5,8809.0,26.0,2491.0,501.0,0.7871818719878245,0.9506641366223909,0.16744652406417113,8835.0,2992.0,11300.0,527.0,0.16744652406417113,0.002942840973401245,0.9970571590265987,0.8325534759358288
6,8809.0,26.0,2492.0,500.0,0.7870973196922296,0.9505703422053232,0.16711229946524064,8835.0,2992.0,11301.0,526.0,0.16711229946524064,0.002942840973401245,0.9970571590265987,0.8328877005347594
7,8791.0,44.0,2485.0,507.0,0.7861672444406865,0.9201451905626135,0.16945187165775402,8835.0,2992.0,11276.0,551.0,0.16945187165775402,0.004980192416525184,0.9950198075834749,0.830548128342246
8,8786.0,49.0,2485.0,507.0,0.7857444829627125,0.9118705035971223,0.16945187165775402,8835.0,2992.0,11271.0,556.0,0.16945187165775402,0.0055461233729485,0.9944538766270515,0.830548128342246
9,8835.0,0.0,2499.0,493.0,0.7887038133085313,1.0,0.16477272727272727,8835.0,2992.0,11334.0,493.0,0.16477272727272727,0.0,1.0,0.8352272727272727
10,8765.0,70.0,2481.0,511.0,0.7843070939376005,0.8795180722891566,0.17078877005347592,8835.0,2992.0,11246.0,581.0,0.17078877005347592,0.00792303338992643,0.9920769666100736,0.8292112299465241
11,8738.0,97.0,2470.0,522.0,0.7829542572080832,0.8432956381260097,0.17446524064171123,8835.0,2992.0,11208.0,619.0,0.17446524064171123,0.010979060554612338,0.9890209394453877,0.8255347593582888
12,8835.0,0.0,2496.0,496.0,0.7889574701953158,1.0,0.1657754010695187,8835.0,2992.0,11331.0,496.0,0.1657754010695187,0.0,1.0,0.8342245989304813
13,8809.0,26.0,2491.0,501.0,0.7871818719878245,0.9506641366223909,0.16744652406417113,8835.0,2992.0,11300.0,527.0,0.16744652406417113,0.002942840973401245,0.9970571590265987,0.8325534759358288
14,8761.0,74.0,2475.0,517.0,0.78447619852879,0.8747884940778342,0.17279411764705882,8835.0,2992.0,11236.0,591.0,0.17279411764705882,0.008375778155065083,0.9916242218449349,0.8272058823529411
15,8798.0,37.0,2491.0,501.0,0.7862517967362814,0.9312267657992565,0.16744652406417113,8835.0,2992.0,11289.0,538.0,0.16744652406417113,0.004187889077532541,0.9958121109224675,0.8325534759358288
16,8798.0,37.0,2488.0,504.0,0.7865054536230659,0.9316081330868762,0.16844919786096257,8835.0,2992.0,11286.0,541.0,0.16844919786096257,0.004187889077532541,0.9958121109224675,0.8315508021390374
17,8835.0,0.0,2496.0,496.0,0.7889574701953158,1.0,0.1657754010695187,8835.0,2992.0,11331.0,496.0,0.1657754010695187,0.0,1.0,0.8342245989304813
18,8809.0,26.0,2491.0,501.0,0.7871818719878245,0.9506641366223909,0.16744652406417113,8835.0,2992.0,11300.0,527.0,0.16744652406417113,0.002942840973401245,0.9970571590265987,0.8325534759358288
19,8835.0,0.0,2496.0,496.0,0.7889574701953158,1.0,0.1657754010695187,8835.0,2992.0,11331.0,496.0,0.1657754010695187,0.0,1.0,0.8342245989304813
20,8791.0,44.0,2487.0,505.0,0.785998139849497,0.9198542805100182,0.16878342245989306,8835.0,2992.0,11278.0,549.0,0.16878342245989306,0.004980192416525184,0.9950198075834749,0.8312165775401069
21,8763.0,72.0,2477.0,515.0,0.78447619852879,0.8773424190800682,0.17212566844919786,8835.0,2992.0,11240.0,587.0,0.17212566844919786,0.008149405772495755,0.9918505942275042,0.8278743315508021
22,8723.0,112.0,2469.0,523.0,0.7817705250697556,0.8236220472440945,0.17479946524064172,8835.0,2992.0,11192.0,635.0,0.17479946524064172,0.012676853423882287,0.9873231465761177,0.8252005347593583
23,8723.0,112.0,2462.0,530.0,0.7823623911389194,0.8255451713395638,0.17713903743315507,8835.0,2992.0,11185.0,642.0,0.17713903743315507,0.012676853423882287,0.9873231465761177,0.8228609625668449
24,8798.0,37.0,2490.0,502.0,0.7863363490318762,0.9313543599257885,0.1677807486631016,8835.0,2992.0,11288.0,539.0,0.1677807486631016,0.004187889077532541,0.9958121109224675,0.8322192513368984
25,8775.0,60.0,2484.0,508.0,0.7848989600067642,0.8943661971830986,0.1697860962566845,8835.0,2992.0,11259.0,568.0,0.1697860962566845,0.006791171477079796,0.9932088285229203,0.8302139037433155
26,8818.0,17.0,2495.0,497.0,0.7876046334657986,0.9669260700389105,0.1661096256684492,8835.0,2992.0,11313.0,514.0,0.1661096256684492,0.0019241652518392756,0.9980758347481608,0.8338903743315508
27,8775.0,60.0,2484.0,508.0,0.7848989600067642,0.8943661971830986,0.1697860962566845,8835.0,2992.0,11259.0,568.0,0.1697860962566845,0.006791171477079796,0.9932088285229203,0.8302139037433155
28,8786.0,49.0,2485.0,507.0,0.7857444829627125,0.9118705035971223,0.16945187165775402,8835.0,2992.0,11271.0,556.0,0.16945187165775402,0.0055461233729485,0.9944538766270515,0.830548128342246
29,8791.0,44.0,2485.0,507.0,0.7861672444406865,0.9201451905626135,0.16945187165775402,8835.0,2992.0,11276.0,551.0,0.16945187165775402,0.004980192416525184,0.9950198075834749,0.830548128342246
30,8694.0,141.0,2460.0,532.0,0.7800794791578591,0.7904903417533432,0.17780748663101603,8835.0,2992.0,11154.0,673.0,0.17780748663101603,0.01595925297113752,0.9840407470288625,0.8221925133689839
31,8694.0,141.0,2459.0,533.0,0.7801640314534539,0.7908011869436202,0.17814171122994651,8835.0,2992.0,11153.0,674.0,0.17814171122994651,0.01595925297113752,0.9840407470288625,0.8218582887700535
32,8809.0,26.0,2491.0,501.0,0.7871818719878245,0.9506641366223909,0.16744652406417113,8835.0,2992.0,11300.0,527.0,0.16744652406417113,0.002942840973401245,0.9970571590265987,0.8325534759358288
33,8761.0,74.0,2473.0,519.0,0.7846453031199797,0.8752107925801011,0.17346256684491979,8835.0,2992.0,11234.0,593.0,0.17346256684491979,0.008375778155065083,0.9916242218449349,0.8265374331550802
34,8786.0,49.0,2484.0,508.0,0.7858290352583073,0.9120287253141831,0.1697860962566845,8835.0,2992.0,11270.0,557.0,0.1697860962566845,0.0055461233729485,0.9944538766270515,0.8302139037433155
35,8835.0,0.0,2496.0,496.0,0.7889574701953158,1.0,0.1657754010695187,8835.0,2992.0,11331.0,496.0,0.1657754010695187,0.0,1.0,0.8342245989304813
