,TN,FP,FN,TP,Accuracy,Precision,Recall,Total_Actual_Neg,Total_Actual_Pos,Total_Pred_Neg,Total_Pred_Pos,TP_Rate,FP_Rate,TN_Rate,FN_Rate
0,226.0,13204.0,1228.0,4490.0,0.24629204094422394,0.25375833615915,0.7852395942637286,13430.0,5718.0,1454.0,17694.0,0.7852395942637286,0.9831720029784066,0.016827997021593447,0.21476040573627142
1,541.0,12889.0,2327.0,3391.0,0.20534781700438687,0.20829238329238328,0.593039524309199,13430.0,5718.0,2868.0,16280.0,0.593039524309199,0.9597170513775131,0.04028294862248697,0.40696047569080096
2,11944.0,1486.0,2991.0,2727.0,0.7661896803843743,0.6472822216947544,0.4769150052465897,13430.0,5718.0,14935.0,4213.0,0.4769150052465897,0.11064780342516753,0.8893521965748324,0.5230849947534103
3,13388.0,42.0,5646.0,72.0,0.7029454773344475,0.631578947368421,0.012591815320041973,13430.0,5718.0,19034.0,114.0,0.012591815320041973,0.003127326880119136,0.9968726731198808,0.9874081846799581
4,13413.0,17.0,5705.0,13.0,0.7011698349697096,0.43333333333333335,0.002273522210563134,13430.0,5718.0,19118.0,30.0,0.002273522210563134,0.0012658227848101266,0.9987341772151899,0.9977264777894369
5,13430.0,0.0,5718.0,0.0,0.7013787340714435,0.0,0.0,13430.0,5718.0,19148.0,0.0,0.0,0.0,1.0,1.0
6,13430.0,0.0,5718.0,0.0,0.7013787340714435,0.0,0.0,13430.0,5718.0,19148.0,0.0,0.0,0.0,1.0,1.0
7,13430.0,0.0,5718.0,0.0,0.7013787340714435,0.0,0.0,13430.0,5718.0,19148.0,0.0,0.0,0.0,1.0,1.0
8,13430.0,0.0,5718.0,0.0,0.7013787340714435,0.0,0.0,13430.0,5718.0,19148.0,0.0,0.0,0.0,1.0,1.0
9,13430.0,0.0,5718.0,0.0,0.7013787340714435,0.0,0.0,13430.0,5718.0,19148.0,0.0,0.0,0.0,1.0,1.0
10,13430.0,0.0,5718.0,0.0,0.7013787340714435,0.0,0.0,13430.0,5718.0,19148.0,0.0,0.0,0.0,1.0,1.0
11,13430.0,0.0,5718.0,0.0,0.7013787340714435,0.0,0.0,13430.0,5718.0,19148.0,0.0,0.0,0.0,1.0,1.0
12,13430.0,0.0,5718.0,0.0,0.7013787340714435,0.0,0.0,13430.0,5718.0,19148.0,0.0,0.0,0.0,1.0,1.0
13,13430.0,0.0,5718.0,0.0,0.7013787340714435,0.0,0.0,13430.0,5718.0,19148.0,0.0,0.0,0.0,1.0,1.0
14,13430.0,0.0,5716.0,2.0,0.7014831836223104,1.0,0.0003497726477789437,13430.0,5718.0,19146.0,2.0,0.0003497726477789437,0.0,1.0,0.9996502273522211
15,13430.0,0.0,5709.0,9.0,0.7018487570503447,1.0,0.0015739769150052466,13430.0,5718.0,19139.0,9.0,0.0015739769150052466,0.0,1.0,0.9984260230849947
16,13422.0,8.0,5707.0,11.0,0.7015354083977439,0.5789473684210527,0.0019237495627841903,13430.0,5718.0,19129.0,19.0,0.0019237495627841903,0.0005956813104988831,0.9994043186895011,0.9980762504372158
